nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_06_21,02_06_21,03_06_21,04_06_21,05_06_21,06_06_21,07_06_21,08_06_21,09_06_21,10_06_21,11_06_21,12_06_21,13_06_21,14_06_21,15_06_21,16_06_21,total
São Caetano),291480202A,Itabuna,Itabuna (São Caetano) - 291480202A,-14.806,-39.278,Sul,RPGA do Leste,0.0,0.0,0.4,0.0,20.09,10.25,2.38,1.18,5.34,4.37,0.79,0.0,0.0,0.0,0.0,0.0,44.8
Nova Ferradas),291480203A,Itabuna,Itabuna (Nova Ferradas) - 291480203A,-14.857,-39.347,Sul,RPGA do Leste,0.59,0.0,0.0,1.2,15.45,4.4,10.86,0.4,7.49,6.12,0.2,0.0,0.0,0.0,0.0,0.0,46.71
Planalto I),292110401A,Medeiros Neto,Medeiros Neto (Planalto I) - 292110401A,-17.365,-40.223,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,5.15,13.92,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.86
Centro),292300102A,Nova Viçosa,Nova Viçosa (Centro) - 292300102A,-17.893,-39.372,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,3.94,0.62,0.0,0.0,0.0,0.0,0.0,0.0,2.18,6.14,1.59,0.0,14.47
Posto da Mata),292300103A,Nova Viçosa,Nova Viçosa (Posto da Mata) - 292300103A,-17.896,-39.37,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",0.0,0.0,0.0,0.0,2.96,0.39,0.2,0.0,0.0,0.0,0.0,0.0,1.98,7.09,1.57,0.0,14.2
Areião),292530301A,Porto Seguro,Porto Seguro (Areião) - 292530301A,-16.441,-39.076,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,0.0,0.0,6.51,4.74,11.29,11.03,6.89,0.2,18.49,0.79,0.0,8.27,0.4,0.2,0.0,68.82
Paraguai),292530302A,Porto Seguro,Porto Seguro (Paraguai) - 292530302A,-16.41,-39.08,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",0.0,0.0,0.0,4.94,4.34,8.87,4.55,5.75,5.52,13.41,1.78,0.0,3.16,0.0,0.0,0.0,52.32
Trancoso),292530303A,Porto Seguro,Porto Seguro (Trancoso) - 292530303A,-16.595,-39.109,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",3.35,0.0,0.2,29.38,16.97,0.4,7.3,0.0,0.4,2.2,0.0,0.0,7.48,1.78,3.34,0.0,72.8
Centro),291480201A,Itabuna,Itabuna (Centro) - 291480201A,-14.79,-39.274,Sul,RPGA do Leste,0.0,0.0,0.0,0.0,28.44,14.8,4.38,2.18,2.56,6.7,0.0,0.0,0.0,0.0,0.0,0.0,59.07
Estádio Municipal),291530401A,Itagimirim,Itagimirim (Estádio Municipal) - 291530401A,-16.089,-39.616,Sul,RPGA do Rio Jequitinhonha,0.0,0.0,0.0,20.09,9.29,4.33,6.36,2.56,0.0,1.39,2.57,0.0,0.0,0.0,0.0,0.0,46.59
